,tweet
3629,Good evening. Can you see a car number or can you let us know your location and direction of travel? Thank you.
3630,"Good evening, Elaine. Can you please send us a DM with more details about this? Thank you."
3631,Tonight: 7:30pm - @celtics vs @ATLHawks at @tdgarden 8:45pm - Orange Line is diverted (Sullivan-Tufts). Green Line &amp; shuttles available. Stay ahead of the game &amp; visit http://mbta.com/trip-planner for the best travel options after the game. #BuildingABetterT
3632,Hello - do you or does somebody near you require assistance?
3633,"Good evening, Marissa. We're sorry about this. We have forwarded your message to Green Line supervisors and they will look into it."
3634,Regular service is proceeding.
3635,Green Line delayed about 10 minutes because of a signal problem near Copley.
3636,Hello Trevor. There is regular Orange Line and Green Line service to North Station and all entrances have reopened.
3637,"Good evening, Becky. At this time there is regular Orange Line and Green Line service to North Station and all entrances have reopened."
3638,Mattapan Trolley delayed about 15 minutes as we remove debris from the overhead wire.
3639,Orange Line trains delayed about 15 minutes while EMS assists a passenger on board a train at Chinatown south. Some trains may stand at stations.
3640,"Good evening. We're sorry to hear that you had to get off the bus in the middle of your trip today. We have forwarded your message to bus officials. It was likely a dispatcher that called the driver, but now supervisory staff will be aware of this."
3641,Hello Shraddha - we're sorry to hear about your wait outside today. We have forwarded your message to bus supervisors.
3642,"Good afternoon, Paulie. We're sorry about this. We have passed this message to bus supervisors so they can check this bus out."
3643,Thanks for giving us this additional information. We will send it to bus supervisors.
3644,Hi Lacey - we're sorry to hear about this. Did you happen to catch the number of the bus you were on? Can you please let us know where this happened and what direction you were traveling? Thank you.
3645,"Q: When will the new Green Line trains run on all lines? A: Now New trains now run on the B, C, & D Branches with limited trips on parts of the E Branch. As we get new trains & refine operations, we'll phase more of them into service. http://mbta.com/GLcars #BuildingABetterT"
3646,You can board the shuttles in the Alewife busway. We will have signs posted and addtional personnel that will direct you. The buses will drop off and pick up in the Harvard busway and signs will direct you to inbound Red Line service.
3647,Thanks. There will be shuttles at Alewife and you can board the Red Line at Harvard.
3648,Good Afternoon and thanks for reaching out. Will you be parking at the Alewife garage to head into Boston?
3649,"Michael, the work in the area has been suspended and the platform has been cleared as safe by Red Line Officlals and Transit Police."
3650,Good Morning Candice and thanks for reaching out. The Countdown Clocks will sometimes show 20+ minutes when the next train is not on the platform at Oak Grove. There are no delays on the Orange Line.
3651,Hello Michael and thanks for reaching out. Red Line Supervisors are sending an official to investigate this now.
3652,Good Morning and thanks for this. We will pass this on to Bus Supervisors to take care of.
3653,Green Line E Branch Update: Regularly scheduled service has resumed.
3654,Green Line E Branch Update: Delays up to 10 minutes in eastbound service due to earlier police department activity near Fenwood.
3655,Green Line E Branch: Service suspended between Brigham Circle and Heath Street due to police department activity. Use the Route 39 bus for service.
3656,Thanks for the additional information. We will pass this on to Bus Supervisors to look into.
3657,Good Morning and thanks for reaching out. Red Line Supervisors and Station Maintenance are aware of the issue at Quincy Adams and are working to correct it. Problems like this are being addressed long term as part of the South Shore Garage Project.
3658,"#MBTA #RedLine: Shuttle buses replace train service between Harvard &amp; Alewife from start to end of service this weekend, February 8 - 9, for track work. Learn more here: https://mbta.com/RLwork"
3659,Hello Marisa. Can you tell us the stop you're waiting at?
3660,Good Morning. Route 4 is scheduled to leave from North Station at 8:05 AM. It departed about three minutes late today. Here is a link to the current schedule. https://cdn.mbta.com/sites/default/files/route_pdfs/2020-winter/rt004.pdf
3661,The Red Line work is one of the projects announced yesterday afternoon as part of an overall acceleration of systemwide work this year. This thread explains the scope of work and links to all the projects.
3662,"Good Morning Katherine. As soon as the exact dates and start times of this work is finalized, they will be posted."
3663,You're welcome. Sorry for the inconvenience and have a good day!
3664,Bus Supervisors have this and will look into the earlier trip.
3665,Understood. We will pass this on to Bus Supervisors to look into. We see the next bus arrived at about 7:32. Were you able to board?
3666,Hello and thanks for reaching out. Can you give us the number of the Route 134 bus you saw?
3667," Reminder: Starting Monday, Feb 10, Braintree Garage will be reduced by ~400 spots for renovations. Riders can park at Quincy Adams &amp; check @MBTA_Parking for availability. Spaces will be returned 16 months sooner than scheduled. http://mbta.com/SouthShore #BuildingABetterT"
3668,#MBTA #OrangeLine: No train service between Sullivan and Tufts Medical Center this weekend (starting tonight at 8:45 PM). Bus shuttles provided between Sullivan and Haymarket. Plan for extra travel time. More info and alternates: http://mbta.com/OLwork
3669,Good Morning Rene and thanks for reaching out. We have passed this on to Station Maintenance to address.
3670,"Good evening, Herby. Can you please let us know the car number (3---) that you are on? Thank you."
3671,"You're welcome, Adam! Have a nice evening."
3672,Thank you for the additional information.
3673,"Here's an update: our sheet metal workers will make a temporary fix tonight while we identify the source of the leak. Once that happens, we will permanently repair it."
3674,Hello Adam. Were you able to catch the car number (3---)?
3675,Good evening. Did you see this closed fare gate at Kenmore at the time of your tweet?
3676,Thank you for the additional information.
3677,Hi Kelly - thanks for letting us know about this. We have notified Green Line officials.
3678,"Good evening. We're sorry to hear about this. Can you please let us know what route, where you are waiting, and your direction of travel? Thank you."
3679,Hi Jae. Can you please let us the car number that you are on? Thank you.
3680,"Good evening, Hugo. For safety reasons, fare gates are programmed to remain in the open position when they are not in service."
3681,"Hi Peter. Thanks for letting us know. This door was repaired last night, but it looks like it needs service again. We've forwarded this to Orange Line supervisors. They will make sure this train is tagged for inspection."
3682,"Good evening, Kyle. This gate has not been open for three consecutive days. There is an issue that is causing it to become stuck in the open position. We will remotely reset it and send a tech, if necessary. Maintenance is working on resolving this problem."
3683,Hello Adam - we'll forward this to maintenance. Is this the Ashmont/Braintree or Alewife platform? Thank you.
3684,"Good evening, Scott. We are tagging our partners @MBTA_CR so they can better assist you."
3685,You're welcome.
3686,"Good evening, Matt. Thanks for asking. We upgraded 13 road and pedestrian crossings ahead of schedule on the C line in 2019, but there are still several road crossings left to address, as well as more than 2 miles of old track that needs replacement."
3687,Hello Breanna - we are sorry for your wait this evening. There is a train to North Station at Government Center now.
3688,"Good evening, Meghan - thanks for letting us know about this. We will forward it to bus officials."
3689,Hi Daniel - there is an outbound D train to Riverside leaving Kenmore now.
3690,Good evening. We're sorry about your wait this afternoon. Are you still on this train? Can you identify a vehicle number (3---) or let us know your location and direction of travel? Thank you.
3691,You're welcome - glad to hear it.
3692,Hi Katie. We're sorry for the wait this afternoon. There is a D train about to begin a trip at Government Center.
3693,Green Line service is proceeding with residual delays. Some trains may be rerouted.
3694,"Good afternoon, Andrew. If a train is running early our dispatchers will hold it at a station to maintain even spacing in between trains."
3695,Hi Rick - there is a B train approaching Park Street westbound now.
3696,Green Line delayed about 15 minutes because of a train with a mechanical problem near Copley eastbound. Some trains may stand at stations.
3697,Hi Tim. Thanks for sharing this with us. It has been corrected.
3698,"We know asking our riders for more patience and understanding is a considerable request, and it's one we take to heart. That is why the breadth and depth of work planned for this year strives to improve service for many years to come. Visit: http://mbta.com/BBT2020"
3699,"During the diversions, we'll provide alternate service to keep our riders moving and will coordinate with all our partners, local and state, to support and prioritize these initiatives. We pledge to communicate with our riders clearly and consistently each step of the way."
3700,"We‰Ûªll utilize diversions on weekends and weekdays to make more significant progress sooner. Planned closures now mean fewer unplanned disruptions in the future. These closures grant us full access, allowing us to complete a year‰Ûªs worth of night work in about a month."
3701,"#BuildingABetterT is our commitment to make the T a better, safer, and more reliable public transit system - one befitting of our riders and the communities we serve. Building on the work and lessons learned in 2019, we‰Ûªve outlined the scope of work we aim to accomplish in 2020."
3702,The smoke was caused by a faulty third rail insulator. After it was removed service resumed.
3703,Understood. We just wanted to make sure another bus wasn't showing an incorrect route number. Have a good day!
3704,Hello and thanks for reaching out. We see the inbound Route 65 departing a minute late at 11:46 AM. Can you give us the number of the bus?
3705,"We understand and are going to pass this on to Bus Supervisors. It looks like the traffic alert had been closed shortly before this trip was run, but we see what you are saying about the tracking."
3706,Blue Line Update: Regularly scheduled service has resumed.
3707,Good Morning Dave. Service has been moving into Boston. Can you tell us the station you're waiting at?
3708,Hello and thanks for reaching out. Bus Supervisors had a 25 minute traffic delay posted earlier on Route 78.
3709,Blue Line Update: Residual delays of up to 10 minutes due to an earlier investigation of smoke in the track area near Bowdoin. A faulty third rail insulator was removed and service is moving at this time.
3710,Blue Line Update: Delays of up to 15 minutes due to an earlier investigation of smoke in the track area near Bowdoin. Service is moving at this time.
3711,Blue Line: Delays of up to 15 minutes due to the investigation of smoke in the track area near Bowdoin. Trains may hold at stations.
3712,Good Morning and thanks for reaching out. We will pass this on to Bus Supervisors to look into. Are there any other details you want us to give them?
3713,Green Line D Branch Update: Regularly scheduled service has resumed.
3714,Green Line D Branch Update: Delays of up to 10 minutes eastbound due to a train with an earlier mechanical problem. The train is moving at this time.
3715,Green Line D Branch: Delays of up to 15 minutes eastbound due to a train with an earlier mechanical problem at Waban.
3716,Thanks for that. We do see a bus approaching your stop now. We will pass this on to Bus Supervisors to look into.
3717,Green Line D Branch: Delays of up to 10 minutes eastbound due to a train with a mechanical problem at Waban.
3718,Hello Nicole. Can you tell us the stop you're waiting at?
3719,Thanks for the additional information. We will pass this on to Bus Supervisors to look into.
3720,Thanks for this. We see a Forest Hills train did service the station at 7:17 AM. Was the train already departing when you got to the platform?
3721,Good Morning Mary. Fare Gate Maintenance is aware of this and are going to have them reset.
3722,Hello Kelly. Route 84 is still posted as a snow route. Can you tell us the number of the Route 84 bus you saw and the location?
3723,Good Morning Herb. Can you tell us if you were waiting for an Oak Grove or Forest Hills train and when you got to the station?
3724,Orange Line Update: Regularly scheduled service has resumed.
3725,Orange Line Update: Delays of up to 10 minutes northbound due to a train with an earlier mechanical problem at Stony Brook. The train is moving at this time.
3726,Orange Line: Delays of up to 10 minutes northbound due to a train with a mechanical problem at Stony Brook.
3727,"Hannah, is your pass on a CharlieCard or a CharlieTicket?"
3728,Hello Linda. Can you please give us the coach number you are on so we can pass this to @MBTA_CR?
3729,Hello Hannah and thanks for this. We will pass it on to Fare Gate Maintenance to address.
3730,You're welcome. Have a good day!
3731,"Good Morning Linda and thanks for reaching out. The closure is this weekend, February 8 - 9. The alert is in the process of being updated."
3732,Good Morning Katherine. There is an Ashmont train departing JFK. You should be moving momentarily.
3733,Hello and thanks for reaching out. Bus Supervisors have 20 minute traffic delays posted this morning on Route 89.
3734,Orange Line Update: Regularly scheduled service has resumed.
3735,Orange Line: Delays of up to 10 minutes due to a signal problem at Wellington.
3736,Good evening. Thanks for letting us know about this. We will forward it to maintenance.
3737,Are you referring to the countdown clocks in the stations? Can you please let us know which station and direction so we can work to correct it? Thanks!
3738,Hi Torii - sorry to hear about this. What train are you looking for?
3739,Service is resuming with residual delays.
3740,Green Line service to North Station and Lechmere delayed about 15 minutes because of a train with a door problem near North Station eastbound.
3741,"Good evening, Siiri. The beeping that you hear when the doors are open serve as an audible indication for our customers who are blind or have low vision."
3742,"Thanks, Joel. We'll forward this to maintenance. Have a good evening."
3743,"Good evening, Nicole. Sorry to hear about this. Can you give some more details about what happened? Thanks."
3744,Regular service is proceeding.
3745,Thanks for the additional information. We have passed it along to Green Line supervisors.
3746,Hi Jason. Orange Line service is running with approximately 10 minute delays due to an earlier train with a door problem at Oak Grove.
3747,Good evening. Orange Line service is running with approximately 10 minute delays because of a train with a door problem at Oak Grove.
3748,Good evening. We're sorry to disrupt your commute. We sent this train back into Boston to provide southbound service.
3749,Orange Line delayed about 10 minutes because of a train with a door problem at Oak Grove. Some trains may stand at stations.
3750,Hi there. A train just departed Oak Grove. Were you able to board?
3751,Good evening. We're glad to hear about this! Can you provide a car number (3---) or location and direction of travel? We want to make sure this Operator is recognized for their effort. Thank you.
3752,"Thank you, we see a bus just pulled in, were you able to board?"
3753,Good evening. Thanks for letting us know. We will have an official meet this train at Park Street to check it out.
3754,"Hi James, can you tell us the stop you are at, and what direction you are headed?"
3755,Hi Chip - sorry about this. Thank you for letting us know. We're sending this to cleaners so they can take care of it.
3756,"Hello, we heard back from supervisors and this bus was out of service, heading to its first trip (4:18 PM) at Copley, and utilized Ring Road to get there."
3757,"Here's an update, Peter. The car has been tagged and will receive service after the rush hour. Have a good evening."
3758,Thanks for letting us know. We have alerted Bus Supervisors to look into this.
3759,"Good evening, Peter. Thanks for letting us know about this. We will have an official check this car out at North Station."
3760,Thanks for the additional information. We will have Bus Supervisors looking into this.
3761,"Good afternoon, Matt. There is a speed restriction in place here because of track condition. We are in the midst of working on our Orange Line tracks. Here is some more information about this project: https://www.mbta.com/projects/orange-line-maintenance-work?utm_campaign=curated-content&amp;utm_content=Orange+Line+Maintenance+Work&amp;utm_medium=whats-happening&amp;utm_source=homepage&amp;utm_term=null"
3762,"Hi Eric, sorry about this. Did you happen to catch the bus number?"
3763,"Snow, sleet, freezing rain. Be prepared for whatever winter brings: Follow us and @MBTA_CR on Twitter Subscribe to T-Alerts at http://mbta.com/signup Visit http://mbta.com/winter for a Winter Travel Guide As always, stay safe and warm #MAsnow"
3764,Hi Jess - the new Orange Line train is at Oak Grove and is scheduled to make a southbound trip at approximately 4:30. Enjoy the ride!
3765,Thanks for the additional information. We've notified Green Line officials about this.
3766,"Good afternoon, Yvelynne. We're sorry to hear about this. Can you please identify a vehicle number (3---) or let us know your location and direction of travel? Thank you."
3767,"Hi Dylan, can you tell us what stop you are waiting at?"
3768,"Hi Andy, thank you for reporting this. We have passed this on to Bus Supervisors."
3769,"Hi Josh, an SL1 bus is entering Terminal A right now. It was delayed because of traffic."
3770,"Good afternoon, Max. Outside of rush hour times, Green Line operators are only required to open the rear doors of the trolley if it is specifically requested by a passenger seeking access."
3771,"Good afternoon, Christopher. Thanks for notifying us about this. We are sending it to station maintenance."
3772,"Hi Kurt, this bus is tracking properly now. Thanks again for letting us know."
3773,Thanks for letting us know Kurt. We will forward this information to our Bus Supervisors to be addressed.
3774,Green Line C Branch Update: Regularly scheduled service has resumed.
3775,Green Line C Branch Update: Delays of up to 20 minutes eastbound due to a train with an earlier door problem. The train has been taken out of service and is clear at this time.
3776,Green Line C Branch Update: Delays of up to 20 minutes eastbound due to a train with a door problem. Officials are working to overcome the issue.
3777,Green Line C Branch: Delays of up to 15 minutes eastbound due to a train with a door problem Coolidge Corner.
3778,Orange Line Update: Regularly scheduled service has resumed.
3779,"We plan to upgrade 3 @MBTA_CR stations - Auburndale, West Newton, &amp; Newtonville - to make them accessible to all riders. To do this, we need your input. Join us at one of our site visit or workshops starting Feb 13. Details: http://mbta.com/NewtonCR #TAccess #BuildingABetterT"
3780,Orange Line: Delays of up to 10 minutes southbound due to a train with a door problem at Haymarket.
3781,Good Morning Dennis and thanks for reaching out. We have passed this on to Orange Line Supervisors to address.
3782,Good Morning. The car had to be isolated because of a door problem. The issue will be checked out when the train is back in the yard.
3783,Hi Rachel! The beeping you hear is a new accessibility feature. It let's riders who are blind or have low vision know that the doors are open. You can learn more the new trains here https://bit.ly/398fr0V
3784,"Good Morning Simone. The train at Oak Grove was not disabled, it was scheduled to go back to the yard at this time. A service train just departed the station. Were you able to board?"
3785,Green Line E Branch Update: Regularly scheduled service has resumed.
3786,Green Line E Branch Update: Delays of up to 10 minutes eastbound due to an earlier sick person at Longwood.
3787,Good Morning and thanks for reaching out. We will pass this on to Red Line Supervisors to look into.
3788,Hello and thanks for reaching out. Bus Supervisors have 20 minute traffic delays posted on Routes 71 & 73 this morning.
3789,Green Line E Branch experiencing eastbound delays of up to 15 minutes due to a person requiring medical attention at Longwood.
3790,Good Morning Chris. One of the cars had to be isolated because of a door issue. The train is remaining in service and the car will be checked after the rush.
3791,Thanks for this. We will pass it on to our Countdown Team to look into.
3792,We see a train serviced Beaconsfield eastbound six minutes ago with a train approaching from Reservoir now.
3793,Good Morning and thanks for reaching out. Can you tell us the stop you're waiting at?
3794,Good Morning Sandy and thanks for this. We will pass it on to Orange Line Supervisors to address.
3795,A Red Line Officlal just checked the car at JFK and reset the heat. It will be checked down the line.
3796,Good Morning Catherine and thanks for taking the time to reach out. We will pass this on to Bus Supervisors.
3797,Hello Cristina and thanks for the kind words. We will pass them on to Bus Supervisors so they know as well.
3798,"Hello Megan, yes buses are servicing the stop at Pierce @Salem St."
3799,Hello and thanks for reaching out. We will pass this on to Red Line Supervisors to address.
3800,"They were posted at 6 AM. If all your alert settings appear to be correct, please contact our Alert Team: https://www.mbta.com/beta-alerts-feedback. They can look into any issue with your account."
3801,Thanks for this. Bus Supervisors have Alerts posted for these routes including connection points and missed stops. Do you subscribe to T-Alerts?
3802,Hello Lizzie and thanks for reaching out. Can you tell us which bus route you are referring to?
3803,Thanks for the additional information. We will pass this on to Orange Line Supervisors to address.
3804,Good Morning Diana. Vaping is not allowed on any MBTA vehicle. Can you give us the number of the car you are on?
3805,Thanks for reporting this Emily. We will pass this on to our station maintenance team.
3806,Thanks for letting us know. We will have Bus Supervisors look into this
3807,Thanks for reporting this. We have alerted our fare gate maintenance team to have this fixed.
3808,Red Line Update: Regular service has resumed. The signal has been fixed.
3809,Sorry about this. Can you give us the approximate time and location this occurred? Did you happen to catch the bus number?
3810,"Hello, thanks for reporting this. Can you give us the car number?"
3811,Thanks for letting us know Paul. We will send someone to clean this up.
3812,"Thank you, we will have our cleaning crews address this."
3813,Red Line- Northbound trains delayed 10 minutes due to a signal problem near Harvard. Trains may stand by at stations.
3814,"Hello, thanks for reporting this. Did you happen to catch the car number?"
3815,Can you give us the approximate time and location of this incident?
3816,Thanks for reporting this. We have alerted Bus Supervisors.
3817,Hello Tim. Is there a specific station or train car that we need to address?
3818,Good Morning Michael. We wanted to pass on to you that Station Maintenance was able to address this last night. Thanks again for reaching out.
3819,"ICYMI - Starting in May, @MBTA_CR will add 8 weekday trips to the Fairmount Line for more frequent service. In collaboration with @CityOfBoston, the 1-year pilot program will let Zone 1A riders pay using a CharlieCard's stored value or monthly LinkPass. http://ow.ly/HN6U50y6e2I"
3820,Good Morning Katie. It currently is not impacting access to the station and Bus Supervisors say no stops are being missed.
3821,Good Morning Chris. The southbound elevator at Central is being replaced and is scheduled to return to service in the spring.
3822,Good Morning and thanks for reaching out. Station Maintenance has been notified about this and will address it.
3823,"Hello Mary, do you need medical assistance?"
3824,Good Morning Marquis. There is an Ashmont bound trolley at Capen St now.
3825,#MBTA #MattapanTrolley Update: Regularly scheduled service has resumed.
3826,#MBTA #MattapanTrolley: Delays of up to 15 minutes due to a trolley with a mechanical problem at Capen St.
3827,Red Line Update: Service is proceeding with residual delays.
3828,Red Line trains delayed 10 minutes due to a passenger in need of medical assistance at Davis. Trains may stand by at stations.
3829,Orange Line Update: Regular service is resuming.
3830,Orange Line trains delayed 10 minutes due to police action at Ruggles Station. Trains may stand by at stations.
3831,Thanks for reporting this Caitlin. We will have an official look into this.
3832,Thank you for the additional information. We have notified station maintenance.
3833,Thanks for letting us know. We will send an official to address this.
3834,Sorry about this Jack. We have notified Bus Supervisors to look into this.
3835,"Hi Michael, thanks for reporting this. Can you tell us what stairwell this is at Downtown Crossing?"
3836,Thanks for reporting this. We will pass this on to our maintenance team to have it replaced.
3837,Thanks for reporting this. Can you tell us what stairway this was on?
3838,"Hi Eric, thanks for reporting this. The train should have just arrived. Were you able to board?"
3839,Thanks for reporting this Kenny. We will notify Bus Supervisors to investigate this.
3840,"Hi Aaron, thanks for letting us know. We will notify Bus Supervisors to look into this."
3841,"Hi Drew, can you give us the bus number and approximate time this occurred? Are you on the correct route now?"
3842,Thanks for reporting this. We will let our fare gate maintenance team know so they can have it fixed.
3843,Thanks for letting us know. We will forward this information to Bus Supervisors.
3844,"Hello, sorry about this. Can you tell us the direction the train was headed? Did you happen to catch the train number?"
3845,"We‰Ûªre going back to work on the Orange Line this weekend to replace the southbound tracks at North Station. In January, crews used the full access diversion to update the northbound tracks to help prevent future unplanned disruptions. http://mbta.com/OLwork #BuildingABetterT"
3846,Thanks for the additional information. We will forward this Bus Supervisors.
3847,Thanks for letting us know Michelle. can you tell us where you saw this?
3848,"Hi Cathy, thanks for letting us know. We are sending an official to the car right now."
3849,"Hi Ed, thanks for letting us know. We will send an official to address this."
3850,"#BuildingABetterT is more than construction projects. It's about planning &amp; developing service that better fits the needs of communities, like Lynn. Join us on 2/11 to discuss strategies for faster, more reliable transit in both the short- &amp; long-term. http://mbta.com/LynnTransit"
3851,"Hi Damian, thanks for letting us know. We have alerted Bus Supervisors and they will look into this."
3852,"Hi Nathan, can you tell us what station you saw this at?"
3853,"Thank you, we will have bus supervisors look into this."
3854,"Hi Aria, can you tell us the route you were waiting for?"
3855,#MBTA #OrangeLine Update: Regularly scheduled service has resumed.
3856,#MBTA #OrangeLine Update: Delays of up to 10 minutes southbound due to an earlier sick passenger.
3857,#MBTA #OrangeLine: Delays of up to 10 minutes southbound due to a person requiring medical assistance at Downtown Crossing.
3858,You're welcome. Have a good day!
3859,#MBTA #OrangeLine: No train service between Sullivan and Tufts Medical Center this weekend (starting Friday at 8:45 PM). Bus shuttles provided between Sullivan and Haymarket. Plan for extra travel time. More info and alternates: http://mbta.com/OLwork
3860,Thanks for the addtional information. We have passed this on to Green Line Supervisors and they are investigating.
3861,"#MBTA #RedLine: Shuttle buses replace train service between Harvard &amp; Alewife from start to end of service this weekend, February 8 - 9, for track work. Learn more here: https://mbta.com/RLwork"
3862,Good Morning Allison and thanks for reaching out. Green Line Supervisors have been notified and will check the car.
3863,Good Morning and thanks for reaching out. Can you give us the car number you are on? It is difficult to make out in the picture.
3864,"Good Morning Kevin. Yes, that is an Ashmont train. We will pass on the signage concern on to Red Line Supervisors."
3865,Thanks for the additional information and reaching out. We will pass this on to Bus Supervisors and System Wide Accessibility to look into.
3866,Hello and thanks for reaching out. You can set up your LinkPass to automatically renew with Auto-pay. You can learn more about it here: http://www.mbta.com/auto-pay.
3867,"We're not implying it was inconvenience, we're just trying to establish what the operator was doing while the passengers were boarding. Are there any other details you would like us to pass on to Supervisors?"
3868,Good Morning. Can you tell us more about what happened? Were the passengers boarding while the operator was securing the wheelchair?
3869,Good Morning and thanks for reaching out. The bus for the 8:32 AM trip appears to be having a tracking problem but should be at Forest Hills.
3870,Hello Bruce. Orange Line officials were investigating a report of smoke on the tracks near Ruggles. Service is moving at this time.
3871,Hello and thanks for reaching out. Orange Line officials are investigating a report of smoke on the tracks near Ruggles. Service is moving.
3872,Hello Laura and thanks for reaching out. There has been intermittent communication problem with the Wollaston signs. We will pass this on to our Countdown Team. There is a train approaching the station now.
3873,Hello and thanks for reaching out. We will pass this on to Bus Supervisors to investigate.
3874,#MBTA #OrangeLine Update: Regularly scheduled service has resumed.
3875,Good Morning and thanks for this. We have passed it on to Red Line Supervisors.
3876,Thanks for this. We will pass it on to Red Line Supervisors.
3877,Hello Jennifer. Can you give us the number of the car you are on?
3878,Good Morning Charissa. Can you give us the number of the car you are on?
3879,#MBTA #OrangeLine: Delays of up to 10 minutes southbound due to a train with a mechanical problem at Haymarket. The train is being taken out of service.
3880,Good Morning Kevin and thanks for reaching out. We will pass this on to Red Line Supervisors.
3881,Green Line service is resuming with residual delays.
3882,Green Line delayed about 15 minutes because of unauthorized people walking around the track area near Copley. Some trains are being held at stations.
3883,B Line service is proceeding with residual delays after the automobile has been removed from the track area.
3884,Good evening. Can you please let us know where you are waiting and your direction of travel? Thank you.
3885,UPDATE: B Line service suspended in both directions between Packard's Corner and Washington Street because of an automobile blocking the tracks. Please expect delays as shuttle buses are sent.
3886,Green Line eastbound B train service suspended between Packard's Corner and Kenmore because of an automobile blocking the tracks. Please use Route 57 for alternate service.
3887,Good evening. We're sorry to hear about this. We are tagging our partners @MBTA_CR so they can better assist you.
3888,Hello there. We're sorry about the wait. Can you let us know where you are waiting and your direction of travel? Thank you.
3889,We will have a Red Line official ride this train from Park Street to Charles.
3890,Hi Matthew - we have notified Red Line officials about this and they will meet the train at Quincy Center to check it out.
3891,"Good afternoon. Thank you for sending this to us, Jim. We'll forward it to our maintenance team."
3892,Service is proceeding after Transit Police released the train.
3893,Red Line delayed about 10 minutes because of police activity at North Quincy southbound. Some trains may stand at stations.
3894,"Good afternoon, Matthew. Thank you for sending this to us. We will forward your message to bus supervisors."
3895,"Hi Marwa, sorry about this. We will send an official to let you through the gate. You can call our customer service line 617-222-3200 for further assistance."
3896,"Hi Michelle, thanks for reporting this. Can you tell us when and where you took this picture? Did you happen to catch the car number?"
3897,"#MBTA #GreenLine - D Branch Reminder: Shuttle buses replace train service between Kenmore and Reservoir through the end of service today, February 2. Allow for extra travel time. More: http://mbta.com/GLDwork"
3898,Regular service is proceeding with residual delays. The train was taken out of service.
3899,Red Line experiencing delays of up to 20 minutes due to disabled train at Downtown Crossing station northbound.
3900,Understood. We appreciate your help with this additional information.
3901,Thank you for the additional information. We will look into this incident.
3902,"Thank you, can you tell us the approximate time this occurred?"
3903,"Hi Jack, thanks for reporting this. We will send this to our station maintenance team to have them address."
3904,"Thanks for reaching out. Can you give us the approximate time this occurred, the route, and the bus number?"
3905,"Hi Jon, thanks for reporting this. We have alerted our cleaning crew to have this addressed."
3906,"Hello, thanks for reaching out. It should be valid through 2/29/2020. Please call our customer service line, 617-222-3200, and they can look up your monthly pass and make sure it is valid on 2/29/2020."
3907,Thanks for letting us know. We will send an official to check the car out.
3908,"Hi Shelbi, thanks for letting us know. We are forwarding this information to Bus Supervisors."
3909,"Hi Zachary, thanks for reporting this. We will pass this on to Bus Supervisors and our maintenance team to have this addressed."
3910,Regular service to Heath Street has resumed.
3911,"Good afternoon, Maggie. Thanks for letting us know. We are sending Red Line personnel to meet this train at Harvard."
3912,Green Line E trains terminating at Brigham Circle because of a fire department apparatus blocking the tracks at Riverway. Please use Route 39 for alternate service.
3913,Hi Gary. Can you please let us know where you heard this? Thank you.
3914,Service is resuming with residual delays.
3915,Thanks for the information. There is a train with a mechanical problem at Chiswick Road eastbound. Green Line personnel are on scene working to resolve the problem.
3916,Green Line B trains delayed about 15 minutes because of a train with a mechanical problem at Chiswick Road inbound. Some trains may stand at stations.
3917,Good morning. We're sorry to learn about your wait today. Can you please let us know your location and direction of travel?
3918,"Good morning, Kathy. Thank you for sending this message. We'll notify bus officials."
3919,"#MBTA #GreenLine - D Branch Reminder: Shuttle buses replace train service between Kenmore and Reservoir through the end of service tomorrow, February 2. Allow for extra travel time. More: http://mbta.com/GLDwork"
3920,We're sorry to hear about your missed connection tonight and understand your frustration. We are going to send this thread to operations personnel.
3921,You're welcome.
3922,Good evening. We're sorry to hear about this. Can you please let us know when this happened and your location and direction of travel? Thank you.
3923,Thanks for the follow-up information. This bus has been inspected and the ramp will be serviced.
3924,Good evening - we're sorry about this. Can you please lets us know where this occurred so we can send this information to bus supervisors? Thank you. Have a nice Friday night.
3925,Hi Anthony - sorry about this. Thank you for the tweet. We have passed it along to bus officials so they can address this. Enjoy your Friday evening.
3926,Hi there. Thanks for letting us know about this. We'll make sure this gets repaired. We hope you enjoy your Friday evening.
3927,Good evening. This weekend we are running normal Orange Line service. There is no diversion - there are no shuttle buses. You can take Orange Line train service from Oak Grove to North Station. We hope you enjoy your weekend!
3928,Hi Matthew - we'll make sure our car cleaners take care of this when the new train gets back to Wellington after the evening rush hour. Have a nice Friday night.
3929,Good evening. Thanks for letting us know about this. We will have a technician troubleshoot these gates.
3930,Hello - thanks for sending this to us. We have made our bus supervisors aware of this and they will pass it on the Operator. Enjoy your Friday evening.
3931,Thank you for sending this to us. We are going to send a tech to fix this gate. Have a nice evening.
3932,There is no posted alert for B Line service.
3933,Hi there. Regular B Line service is running.
3934,Hi Karl. Can you please let us know where this happened? Thank you.
3935,Thanks for letting us know. Have a good day.
3936,Thank you for the additional information. Have a nice evening.
3937,This train was on the platform for 3 minutes as we accommodated a passenger who needed assistance. Did you hear an announcement on board the train?
3938,"Good afternoon, Dave. There was no derailment or mechanical issue. We went to be sure that our customers are receiving the correct information on board our trains. Can you please let us know if you traveling inbound or outbound? Thank you."
3939,Hi Alyssa. There was no derailment and we want to ensure that our customers are receiving accurate information on board our trains. Can you please let us know if you were traveling inbound or outbound?
